,en,en_perso,fr,fr_perso,es,de,se
/ô,0,0,0,0,0,0,0
/.,0,0,0,0,0,0,0
"/,",0,0,0,0,0,0,0
/-,0,0.00067,0,0.00102,0,0,0
/',0,0,0,0,0,0,0
//,0,0.00067,0,0.00068,0,0,0
aä,0,0,0,0,0,0.00012,0.04808
äa,0,0,0,0,0,0.00003,0.00013
ää,0,0,0,0,0,0.00004,0.00049
äb,0,0,0,0,0,0.00172,0.00217
äc,0,0,0,0,0,0.03703,0.02772
äd,0,0,0,0,0,0.01365,0.03921
äe,0,0,0,0,0,0.00059,0.00038
äf,0,0,0,0,0,0.02816,0.00849
äg,0,0,0,0,0,0.02269,0.09431
äh,0,0,0,0,0,0.07234,0.00057
äi,0,0,0,0,0,0.0054,0.00058
äj,0,0,0,0,0,0.00001,0.00024
äk,0,0,0,0,0,0.0003,0.03953
äl,0,0,0,0,0,0.03105,0.16916
äm,0,0,0,0,0,0.01302,0.0781
añ,0,0,0,0,0.15296,0,0
än,0,0,0,0,0,0.08826,0.33251
aö,0,0,0,0,0,0.00007,0.01441
äo,0,0,0,0,0,0.00031,0.00045
äö,0,0,0,0,0,0,0.00003
äp,0,0,0,0,0,0.00091,0.01461
äq,0,0,0,0,0,0.00015,0
är,0,0,0,0,0,0.07301,0.69675
äs,0,0,0,0,0,0.03752,0.09628
aß,0,0,0,0,0,0.02382,0
äß,0,0,0,0,0,0.00483,0
ät,0,0,0,0,0,0.07395,0.10858
aü,0,0,0,0,0,0.00083,0
äu,0,0,0,0,0,0.04085,0.00027
äü,0,0,0,0,0,0,0
äv,0,0,0,0,0,0.00046,0.08906
äw,0,0,0,0,0,0.00001,0.00001
äx,0,0,0,0,0,0.00001,0.0192
äy,0,0,0,0,0,0,0.00004
äz,0,0,0,0,0,0.00051,0
bä,0,0,0,0,0,0.00858,0.02921
bñ,0,0,0,0,0.00004,0,0
bö,0,0,0,0,0,0.00854,0.05098
bü,0,0,0,0,0,0.02718,0
cä,0,0,0,0,0,0.00006,0.00126
cö,0,0,0,0,0,0.00004,0.0001
cü,0,0,0,0,0,0.00015,0
dä,0,0,0,0,0,0.00555,0.09366
dñ,0,0,0,0,0.00002,0,0
dö,0,0,0,0,0,0.00217,0.05634
dß,0,0,0,0,0,0,0
dü,0,0,0,0,0,0.01972,0
eä,0,0,0,0,0,0.00485,0.04309
eñ,0,0,0,0,0.04421,0,0
eö,0,0,0,0,0,0.00396,0.00957
eß,0,0,0,0,0,0.02546,0
eü,0,0,0,0,0,0.01399,0
fä,0,0,0,0,0,0.02673,0.05347
fñ,0,0,0,0,0,0,0
fö,0,0,0,0,0,0.00624,0.61208
fß,0,0,0,0,0,0,0
fü,0,0,0,0,0,0.20589,0
gä,0,0,0,0,0,0.01263,0.03497
gñ,0,0,0,0,0,0,0
gö,0,0,0,0,0,0.00235,0.04939
gß,0,0,0,0,0,0,0
gü,0,0,0,0,0,0.0127,0
hä,0,0,0,0,0,0.07947,0.07901
hö,0,0,0,0,0,0.04719,0.08181
hß,0,0,0,0,0,0,0
hü,0,0,0,0,0,0.02433,0
iä,0,0,0,0,0,0.00059,0.01888
iñ,0,0,0,0,0.01414,0,0
iö,0,0,0,0,0,0.00124,0.01397
iß,0,0,0,0,0,0.01666,0
iü,0,0,0,0,0,0.00121,0
jä,0,0,0,0,0,0.02873,0.08978
jö,0,0,0,0,0,0.00173,0.03708
jß,0,0,0,0,0,0,0
jü,0,0,0,0,0,0.00655,0
kä,0,0,0,0,0,0.01111,0.0723
kö,0,0,0,0,0,0.0491,0.04054
kß,0,0,0,0,0,0,0
kü,0,0,0,0,0,0.02566,0
lä,0,0,0,0,0,0.08184,0.17612
lñ,0,0,0,0,0.00003,0,0
lö,0,0,0,0,0,0.01809,0.04056
lß,0,0,0,0,0,0.00002,0
lü,0,0,0,0,0,0.01969,0
mä,0,0,0,0,0,0.02469,0.09876
mñ,0,0,0,0,0,0,0
mö,0,0,0,0,0,0.02647,0.04055
mß,0,0,0,0,0,0,0
mü,0,0,0,0,0,0.03935,0
nä,0,0,0,0,0,0.02836,0.20113
ña,0,0,0,0,0.07676,0,0
ñb,0,0,0,0,0,0,0
ñc,0,0,0,0,0.00001,0,0
ñd,0,0,0,0,0.00001,0,0
ñe,0,0,0,0,0.00601,0,0
ñh,0,0,0,0,0,0,0
ñi,0,0,0,0,0.00642,0,0
ñl,0,0,0,0,0.00001,0,0
nñ,0,0,0,0,0.00006,0,0
ñn,0,0,0,0,0.00013,0,0
nö,0,0,0,0,0,0.00914,0.03148
ño,0,0,0,0,0.12923,0,0
ñp,0,0,0,0,0.00001,0,0
ñq,0,0,0,0,0,0,0
ñr,0,0,0,0,0,0,0
ñs,0,0,0,0,0.00002,0,0
nß,0,0,0,0,0,0.00004,0
ñt,0,0,0,0,0,0,0
nü,0,0,0,0,0,0.03082,0
ñu,0,0,0,0,0.00052,0,0
ñy,0,0,0,0,0,0,0
oä,0,0,0,0,0,0.00015,0.0084
öa,0,0,0,0,0,0.00009,0.00618
öä,0,0,0,0,0,0,0.00085
öb,0,0,0,0,0,0.00135,0.0034
öc,0,0,0,0,0,0.00941,0.00593
öd,0,0,0,0,0,0.00318,0.12584
öe,0,0,0,0,0,0.00019,0.00148
öf,0,0,0,0,0,0.01651,0.0045
ög,0,0,0,0,0,0.0215,0.03946
öh,0,0,0,0,0,0.0221,0.00241
öi,0,0,0,0,0,0.00009,0.00217
öj,0,0,0,0,0,0.00001,0.02429
ök,0,0,0,0,0,0.00261,0.0357
öl,0,0,0,0,0,0.01664,0.04154
öm,0,0,0,0,0,0.00167,0.02613
oñ,0,0,0,0,0.00239,0,0
ön,0,0,0,0,0,0.05052,0.04639
oö,0,0,0,0,0,0.00015,0.00082
öo,0,0,0,0,0,0.00007,0.00198
öö,0,0,0,0,0,0.00003,0.00054
öp,0,0,0,0,0,0.00317,0.02897
öq,0,0,0,0,0,0,0.00004
ör,0,0,0,0,0,0.04224,0.72601
ös,0,0,0,0,0,0.02448,0.05963
oß,0,0,0,0,0,0.03027,0
öß,0,0,0,0,0,0.01269,0
öt,0,0,0,0,0,0.01016,0.04267
oü,0,0,0,0,0,0.00093,0
öu,0,0,0,0,0,0.00005,0.00049
öü,0,0,0,0,0,0,0
öv,0,0,0,0,0,0.00088,0.09087
öw,0,0,0,0,0,0.00155,0.00028
öx,0,0,0,0,0,0.00001,0.00008
öy,0,0,0,0,0,0.00001,0.00022
öz,0,0,0,0,0,0.00062,0.00008
pä,0,0,0,0,0,0.01494,0.0083
pñ,0,0,0,0,0,0,0
pö,0,0,0,0,0,0.00129,0.00151
pß,0,0,0,0,0,0,0
pü,0,0,0,0,0,0.00297,0
qä,0,0,0,0,0,0,0.00012
qö,0,0,0,0,0,0,0.00001
qü,0,0,0,0,0,0,0
rä,0,0,0,0,0,0.07898,0.21042
rñ,0,0,0,0,0.00001,0,0
rö,0,0,0,0,0,0.02999,0.09179
rß,0,0,0,0,0,0.00006,0
rü,0,0,0,0,0,0.10617,0
sä,0,0,0,0,0,0.01816,0.12051
sñ,0,0,0,0,0,0,0
sö,0,0,0,0,0,0.00565,0.0595
ßa,0,0,0,0,0,0.00306,0
ßä,0,0,0,0,0,0.00001,0
ßb,0,0,0,0,0,0.00896,0
ßc,0,0,0,0,0,0.00017,0
ßd,0,0,0,0,0,0.0034,0
ße,0,0,0,0,0,0.08275,0
ßf,0,0,0,0,0,0.00089,0
ßg,0,0,0,0,0,0.00278,0
ßh,0,0,0,0,0,0.00091,0
ßi,0,0,0,0,0,0.00531,0
ßj,0,0,0,0,0,0.00019,0
ßk,0,0,0,0,0,0.00082,0
ßl,0,0,0,0,0,0.00561,0
ßm,0,0,0,0,0,0.0016,0
ßn,0,0,0,0,0,0.00456,0
ßo,0,0,0,0,0,0.00025,0
ßö,0,0,0,0,0,0.00001,0
ßp,0,0,0,0,0,0.00042,0
ßq,0,0,0,0,0,0.00001,0
ßr,0,0,0,0,0,0.0007,0
sß,0,0,0,0,0,0.00286,0
ßs,0,0,0,0,0,0.00286,0
ßß,0,0,0,0,0,0,0
ßt,0,0,0,0,0,0.018,0
ßu,0,0,0,0,0,0.00231,0
ßü,0,0,0,0,0,0.0001,0
ßv,0,0,0,0,0,0.00106,0
ßw,0,0,0,0,0,0.00169,0
ßx,0,0,0,0,0,0,0
ßy,0,0,0,0,0,0,0
ßz,0,0,0,0,0,0.00086,0
sü,0,0,0,0,0,0.01574,0
tä,0,0,0,0,0,0.06793,0.16631
tö,0,0,0,0,0,0.01023,0.07042
tß,0,0,0,0,0,0,0
tü,0,0,0,0,0,0.04347,0
uä,0,0,0,0,0,0.00068,0.00249
üa,0,0,0,0,0,0.00003,0
üä,0,0,0,0,0,0,0
üb,0,0,0,0,0,0.11978,0
üc,0,0,0,0,0,0.05932,0
üd,0,0,0,0,0,0.00856,0
üe,0,0,0,0,0,0.00014,0
üf,0,0,0,0,0,0.0067,0
üg,0,0,0,0,0,0.01642,0
üh,0,0,0,0,0,0.05964,0
üi,0,0,0,0,0,0.00003,0
üj,0,0,0,0,0,0,0
ük,0,0,0,0,0,0.00013,0
ül,0,0,0,0,0,0.01491,0
üm,0,0,0,0,0,0.00437,0
uñ,0,0,0,0,0.00522,0,0
ün,0,0,0,0,0,0.06735,0
uö,0,0,0,0,0,0.0002,0.00037
üo,0,0,0,0,0,0.00001,0
üö,0,0,0,0,0,0,0
üp,0,0,0,0,0,0.00172,0
üq,0,0,0,0,0,0,0
ür,0,0,0,0,0,0.21951,0
üs,0,0,0,0,0,0.03559,0
uß,0,0,0,0,0,0.03416,0
üß,0,0,0,0,0,0.00342,0
üt,0,0,0,0,0,0.02263,0
uü,0,0,0,0,0,0.00216,0
üu,0,0,0,0,0,0.00002,0
üü,0,0,0,0,0,0.00002,0
üv,0,0,0,0,0,0.00032,0
üw,0,0,0,0,0,0.00005,0
üx,0,0,0,0,0,0.00002,0
üy,0,0,0,0,0,0,0
üz,0,0,0,0,0,0.00005,0
vä,0,0,0,0,0,0.00032,0.23922
vö,0,0,0,0,0,0.00551,0.00526
vß,0,0,0,0,0,0,0
vü,0,0,0,0,0,0.00026,0
wä,0,0,0,0,0,0.03891,0.00105
wö,0,0,0,0,0,0.00685,0.00008
wß,0,0,0,0,0,0,0
wü,0,0,0,0,0,0.0222,0
xä,0,0,0,0,0,0.00001,0.00128
xö,0,0,0,0,0,0.00001,0.00037
xü,0,0,0,0,0,0.00008,0
yä,0,0,0,0,0,0.00002,0.00448
yñ,0,0,0,0,0.00001,0,0
yö,0,0,0,0,0,0.00003,0.00063
yß,0,0,0,0,0,0,0
yü,0,0,0,0,0,0.00018,0
zä,0,0,0,0,0,0.01066,0.00068
zñ,0,0,0,0,0,0,0
zö,0,0,0,0,0,0.00421,0.00013
zü,0,0,0,0,0,0.00746,0
ån,0,0,0,0,0,0,0.28583
på,0,0,0,0,0,0,0.28065
rå,0,0,0,0,0,0,0.2123
år,0,0,0,0,0,0,0.20248
så,0,0,0,0,0,0,0.14011
åd,0,0,0,0,0,0,0.11513
åt,0,0,0,0,0,0,0.11417
åg,0,0,0,0,0,0,0.10377
ål,0,0,0,0,0,0,0.09585
gå,0,0,0,0,0,0,0.09069
må,0,0,0,0,0,0,0.08684
ås,0,0,0,0,0,0,0.08429
vå,0,0,0,0,0,0,0.07888
tå,0,0,0,0,0,0,0.06907
nå,0,0,0,0,0,0,0.0689
lå,0,0,0,0,0,0,0.06376
då,0,0,0,0,0,0,0.05721
åk,0,0,0,0,0,0,0.05399
hå,0,0,0,0,0,0,0.04648
åe,0,0,0,0,0,0,0.04508
få,0,0,0,0,0,0,0.04121
åa,0,0,0,0,0,0,0.04102
åv,0,0,0,0,0,0,0.03402
åm,0,0,0,0,0,0,0.02627
bå,0,0,0,0,0,0,0.02543
åf,0,0,0,0,0,0,0.02463
åb,0,0,0,0,0,0,0.02443
kå,0,0,0,0,0,0,0.02389
åh,0,0,0,0,0,0,0.0237
aå,0,0,0,0,0,0,0.02183
eå,0,0,0,0,0,0,0.01884
åp,0,0,0,0,0,0,0.01406
åo,0,0,0,0,0,0,0.0137
åi,0,0,0,0,0,0,0.0136
åu,0,0,0,0,0,0,0.00828
åö,0,0,0,0,0,0,0.00529
iå,0,0,0,0,0,0,0.0049
åå,0,0,0,0,0,0,0.00465
åä,0,0,0,0,0,0,0.00435
åc,0,0,0,0,0,0,0.00409
åj,0,0,0,0,0,0,0.0036
oå,0,0,0,0,0,0,0.00241
åw,0,0,0,0,0,0,0.00156
yå,0,0,0,0,0,0,0.00079
uå,0,0,0,0,0,0,0.00079
åy,0,0,0,0,0,0,0.00065
xå,0,0,0,0,0,0,0.00062
jå,0,0,0,0,0,0,0.00025
åx,0,0,0,0,0,0,0.00025
åz,0,0,0,0,0,0,0.00022
wå,0,0,0,0,0,0,0.00019
öå,0,0,0,0,0,0,0.00015
åq,0,0,0,0,0,0,0.00012
cå,0,0,0,0,0,0,0.00008
zå,0,0,0,0,0,0,0.00005
äå,0,0,0,0,0,0,0.00003
qå,0,0,0,0,0,0,0
